latitude,longitude,tests
35.8332324501471 , 10.590354851035748,1
35.834118741768464 , 10.633139049618746,1
35.83422014479503 , 10.623809659405289,1
35.8349899 , 10.6089514,1
35.8352326 , 10.6073672,1
35.835403408994196 , 10.594448580895927,1
35.83547385652612 , 10.594492592205365,1
35.8403334 , 10.5943216,3
35.8432942 , 10.584959,2
35.8443834 , 10.5847316,1
35.844927 , 10.616193,1
35.845061 , 10.6252231,1
35.8490152 , 10.5853691,1
35.8491143 , 10.6168401,2
35.8522588 , 10.5841827,1
35.8531702 , 10.5872795,3
35.8538228 , 10.61568,1
35.8550058 , 10.6112099,1
35.8592793 , 9.2023504,1
35.8656248 , 10.6068004,1
35.8656248 , 10.6068006,1
35.8675125 , 10.6050523,1
35.8690556 , 10.5432917,1
35.8691222 , 10.5409718,1
35.8693917 , 10.541935,1
35.8698243 , 10.5352367,3
35.8701229 , 10.5861509,1
35.8717539 , 10.5850425,2
35.8732022 , 10.5652202,1
35.8746739 , 10.5718086,1
35.8766703 , 10.5364979,1
35.87825195428797 , 10.527287133954593,1
35.8823525 , 10.5676646,3
35.8830821 , 10.5776334,2
35.8846944 , 9.210263399999999,1
35.8847909 , 10.5749936,1
35.8904199 , 8.552874599999999,1
35.8904887 , 10.5348894,1
35.9035546 , 10.5437192,2
35.9124921 , 9.845977399999999,1
35.91404935883439 , 10.52194135937499,1
35.9187511 , 10.5760293,1
35.9187833 , 10.5760099,2
35.9240355 , 10.5700618,3
35.9240868 , 10.5716112,1
35.9301532 , 10.5630877,1
35.9318349 , 10.303487,1
35.9334869 , 10.546488,3
35.9335024 , 10.5465276,1
35.945185 , 10.5539858,1
35.9461491 , 8.830822699999999,2
35.95146814752575 , 8.526718163586475,1
35.95377137514236 , 10.481382672342091,1
35.9626096 , 10.5388024,1
36.0030023 , 8.528161299999999,1
36.0191913 , 10.5130259,3
36.0314115 , 10.5043026,3
36.05477149473694 , 8.665886662508546,1
36.06186230000001 , 9.6007348,1
36.0756434 , 9.0181363,2
36.1339922 , 10.3780485,4
36.1517408 , 10.3427724,1
36.16125949498042 , 8.69502142657636,1
36.16698239999999 , 8.7032318,1
36.1679648 , 8.7095789,6
36.1687296 , 9.653363599999999,1
36.1798151 , 8.7150197,1
36.2229267 , 8.355395099999999,3
36.23519784350557 , 8.920754819286557,1
36.23903238492122 , 10.412214976480785,1
36.25 , 9.25,1
36.2550899 , 9.2549561,1
36.2990345 , 10.4537057,1
36.30799800730398 , 11.20722346528979,1
36.3167867 , 9.317906899999999,1
36.3243196 , 9.321883999999999,1
36.3562121 , 10.2116893,1
36.358021 , 10.2128806,1
36.3800061 , 9.9081353,1
36.3845775 , 9.922621999999999,2
36.3969439 , 10.1437174,1
36.398913 , 10.5694163,1
36.399248 , 10.5698971,2
36.399758180804085 , 10.617846974020985,1
36.40019178460658 , 10.617914434340243,1
36.4011146 , 10.1436518,1
36.4037043 , 10.5796568,1
36.403971 , 10.1613971,2
36.4040068 , 10.5689948,1
36.4044843 , 10.6121116,1
36.4054805864573 , 10.58540909340667,1
36.4061379 , 10.583344,1
36.4067967 , 10.1938765,1
36.4072574 , 10.6224706,2
36.4074303 , 10.1654804,1
36.4091188 , 10.1423172,2
36.4092245 , 10.1423348,1
36.4094602 , 10.603256,1
36.4108814 , 10.5635262,1
36.414787517563745 , 10.600273383575436,1
36.4252308 , 10.6309169,3
36.4276164 , 10.5067437,1
36.4277609 , 10.6657009,1
36.4306843 , 10.4859401,1
36.430711 , 10.5702507,1
36.4405103 , 10.731651,1
36.4406334 , 10.7313826,1
36.4420574 , 10.7467713,1
36.45325121967969 , 10.749513275862848,1
36.453664350918885 , 10.728208380228732,1
36.4538493850485 , 10.728244168981817,1
36.45745653867287 , 10.737510804200813,1
